2023-03-09 09:47:13.182 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2058 ms
2023-03-09 09:47:13.689 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-03-09 09:47:15.813 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2023-03-09 09:47:15.845 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
2023-03-09 09:47:15.860 [main] INFO  com.wang.web.WebServicesApplication - Started WebServicesApplication in 5.732 seconds (JVM running for 8.443)
2023-03-09 09:47:45.211 [http-nio-8088-exec-15] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-09 09:47:45.219 [http-nio-8088-exec-15] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-09 09:47:45.225 [http-nio-8088-exec-15] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2023-03-09 14:22:26.048 [main] INFO  com.wang.web.WebServicesApplication - Starting WebServicesApplication using Java 11.0.18 on DESKTOP-32AM1JO with PID 26664 (C:\MyFile\project\Java\GK\wky\wky-webApi\target\classes started by 12636 in C:\MyFile\project\Java\GK\wky)
2023-03-09 14:22:26.051 [main] INFO  com.wang.web.WebServicesApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-09 14:22:27.361 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-03-09 14:22:27.364 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-03-09 14:22:27.400 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17 ms. Found 0 Redis repository interfaces.
2023-03-09 14:22:28.684 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
2023-03-09 14:22:28.759 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2023-03-09 14:22:28.759 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-03-09 14:22:28.759 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
2023-03-09 14:22:28.934 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-09 14:22:28.934 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2825 ms
2023-03-09 14:22:29.527 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-03-09 14:22:32.060 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2023-03-09 14:22:32.094 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
2023-03-09 14:22:32.105 [main] INFO  com.wang.web.WebServicesApplication - Started WebServicesApplication in 7.057 seconds (JVM running for 11.891)
2023-03-09 14:22:44.517 [http-nio-8088-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-09 14:22:44.517 [http-nio-8088-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-09 14:22:44.519 [http-nio-8088-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
